Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,V,epsilon,k,nut,p
internalMesh,161,-0.000396,0.003570,0.000000,0.003592,10.100500,0.071362,0.000000,10.100752,0.000000,14.224500,0.347982,0.000766,-4.891920
internalMesh,162,-0.019809,0.004145,0.000000,0.020238,10.000400,0.006291,0.000000,10.000401,0.000000,14.687400,0.372806,0.000852,-4.078370
internalMesh,163,-0.018257,0.004145,0.000000,0.018722,10.004200,0.018432,0.000000,10.004217,0.000000,14.525100,0.370628,0.000851,-4.106680
internalMesh,164,-0.016768,0.004145,0.000000,0.017273,10.011500,0.027206,0.000000,10.011538,0.000000,14.376000,0.368577,0.000850,-4.181150
internalMesh,165,-0.015338,0.004145,0.000000,0.015889,10.019800,0.032598,0.000000,10.019854,0.000000,14.240900,0.366646,0.000850,-4.268860
internalMesh,166,-0.013966,0.004145,0.000000,0.014568,10.027400,0.036363,0.000000,10.027466,0.000000,14.120000,0.364826,0.000848,-4.343300
internalMesh,167,-0.012648,0.004145,0.000000,0.013310,10.034700,0.039174,0.000000,10.034777,0.000000,14.013000,0.363107,0.000847,-4.410100
internalMesh,168,-0.011383,0.004145,0.000000,0.012114,10.041700,0.041082,0.000000,10.041784,0.000000,13.919300,0.361477,0.000845,-4.475770
internalMesh,169,-0.010168,0.004145,0.000000,0.010981,10.048400,0.042353,0.000000,10.048490,0.000000,13.837600,0.359927,0.000843,-4.537490
internalMesh,170,-0.009002,0.004145,0.000000,0.009911,10.054600,0.043338,0.000000,10.054693,0.000000,13.766900,0.358449,0.000840,-4.592780
internalMesh,171,-0.007883,0.004145,0.000000,0.008906,10.060300,0.044263,0.000000,10.060397,0.000000,13.705800,0.357036,0.000837,-4.642480
internalMesh,172,-0.006808,0.004145,0.000000,0.007970,10.065700,0.045280,0.000000,10.065802,0.000000,13.653300,0.355682,0.000834,-4.687840
internalMesh,173,-0.005776,0.004145,0.000000,0.007109,10.070800,0.046532,0.000000,10.070908,0.000000,13.608300,0.354384,0.000831,-4.729400
internalMesh,174,-0.004786,0.004145,0.000000,0.006331,10.075700,0.048170,0.000000,10.075815,0.000000,13.569900,0.353139,0.000827,-4.767600
internalMesh,175,-0.003835,0.004145,0.000000,0.005647,10.080400,0.050344,0.000000,10.080526,0.000000,13.537400,0.351944,0.000823,-4.803280
internalMesh,176,-0.002922,0.004145,0.000000,0.005071,10.085100,0.053204,0.000000,10.085240,0.000000,13.510000,0.350798,0.000820,-4.837690
internalMesh,177,-0.002045,0.004145,0.000000,0.004622,10.090000,0.056892,0.000000,10.090160,0.000000,13.487500,0.349700,0.000816,-4.872470
internalMesh,178,-0.001204,0.004145,0.000000,0.004316,10.095200,0.061516,0.000000,10.095387,0.000000,13.469300,0.348653,0.000812,-4.909840
internalMesh,179,-0.000396,0.004145,0.000000,0.004164,10.101000,0.067222,0.000000,10.101224,0.000000,13.455100,0.347668,0.000809,-4.952340
internalMesh,180,-0.019809,0.004761,0.000000,0.020373,10.000300,0.005565,0.000000,10.000302,0.000000,14.686800,0.372801,0.000852,-4.124020
