"Cell Type","U:0","U:1","U:2","V","epsilon","k","nut","p"
12,10.0496,0.055980202,0,3.65695e-10,53.285301,0.386933,0.00025287599,-4.7063999
12,10.0392,0.057306301,0,3.5108499e-10,56.3857,0.38982099,0.00024255201,-4.7016001
12,10.0275,0.060015898,0,3.3705799e-10,59.5798,0.39300099,0.00023330899,-4.6824498
12,10.0146,0.064416803,0,3.2359099e-10,62.883999,0.39647901,0.00022498,-4.6505299
12,10.0008,0.0723124,0,3.10662e-10,66.320198,0.400215,0.000217362,-4.60776
12,9.99928,0.0069499598,0,6.6591999e-10,15.4802,0.37494901,0.00081735698,-3.8027301
12,10.0081,0.034400299,0,6.3931399e-10,16.7267,0.37580499,0.000759902,-3.82216
12,10.027,0.046713199,0,6.1377098e-10,18.137199,0.37605199,0.00070172898,-4.06284
12,10.0414,0.051149901,0,5.8924898e-10,19.515301,0.37544,0.00065005198,-4.2094002
12,10.0517,0.054138001,0,5.6570698e-10,20.812901,0.374208,0.00060553098,-4.28054
12,10.0613,0.055760201,0,5.4310501e-10,22.0324,0.372659,0.00056728901,-4.3611398
12,10.0697,0.056189101,0,5.2140597e-10,23.1931,0.37102899,0.00053419499,-4.4454598
12,10.0761,0.056130901,0,5.0057403e-10,24.318399,0.36947399,0.00050521397,-4.5142798
12,10.0805,0.055945698,0,4.8057403e-10,25.428699,0.36808801,0.000479537,-4.5689101
12,10.0834,0.055754401,0,4.6137399e-10,26.5389,0.366918,0.00045656101,-4.61485
12,10.085,0.055666398,0,4.4293999e-10,27.658701,0.36598301,0.00043584401,-4.6531701
12,10.0855,0.055824202,0,4.2524301e-10,28.7941,0.36528,0.000417053,-4.6829801
12,10.0847,0.056388099,0,4.0825399e-10,29.9484,0.36480099,0.000399927,-4.70363
12,10.0829,0.057565,0,3.9194301e-10,31.1238,0.36453,0.000384254,-4.71454
12,10.08,0.0596078,0,3.76283e-10,32.3228,0.36445701,0.000369852,-4.7150998
12,10.076,0.062979802,0,3.61249e-10,33.550701,0.364575,0.000356545,-4.7045698
12,10.0713,0.068029203,0,3.4681599e-10,34.8153,0.364885,0.000344178,-4.68466
12,10.0661,0.075574197,0,3.3295999e-10,36.116501,0.36537501,0.00033267101,-4.6581802
12,10.0002,0.0092511,0,7.1371498e-10,14.9064,0.37347999,0.00084218098,-3.8664
12,10.0078,0.032456402,0,6.8520001e-10,15.2321,0.37252301,0.00081995502,-3.9085701
12,10.0224,0.0421509,0,6.5782402e-10,15.7305,0.37169099,0.00079043303,-4.0851202
12,10.0347,0.045856401,0,6.3154099e-10,16.308001,0.37069401,0.00075835502,-4.2137299
12,10.0443,0.049414299,0,6.06309e-10,16.9109,0.36947399,0.00072651001,-4.2884002
12,10.0535,0.052044701,0,5.8208499e-10,17.5119,0.36807799,0.00069628598,-4.3672099
12,10.0621,0.053274199,0,5.5882898e-10,18.0993,0.366579,0.00066821498,-4.4484801
12,10.0693,0.053762201,0,5.3650201e-10,18.6705,0.36504501,0.00064235902,-4.5164399
12,10.0751,0.054017302,0,5.1506699e-10,19.2276,0.363529,0.00061857997,-4.5712399
12,10.0799,0.054235801,0,4.9448801e-10,19.773701,0.36207101,0.00059668202,-4.61763
12,10.0837,0.054549001,0,4.7473198e-10,20.312099,0.36069599,0.000576463,-4.6568999
12,10.0866,0.055111598,0,4.5576501e-10,20.845699,0.359418,0.00055773399,-4.6884599
12,10.0887,0.056096699,0,4.3755499e-10,21.376801,0.35824499,0.00054033101,-4.7118402
12,10.0898,0.057713799,0,4.20074e-10,21.907801,0.35717899,0.00052410201,-4.72685
12,10.0902,0.060216099,0,4.0329001e-10,22.441,0.356222,0.00050891098,-4.7334399
12,10.0899,0.063971996,0,3.8717701e-10,22.9795,0.35537499,0.00049462501,-4.7318201
12,10.0891,0.069305398,0,3.71708e-10,23.527,0.354642,0.00048112401,-4.7238302
12,10.0881,0.076714799,0,3.5685699e-10,24.080099,0.35402599,0.00046843899,-4.71278
