"Cell Type","U:0","U:1","U:2","V","Volume","epsilon","k","nut","p"
12,5.21408,-0.0259942,-3.21706e-18,1.68923e-09,1.689232e-09,8.14943,0.275097,0.000835771,18.1876
12,5.20881,-0.0258267,0,1.69656e-09,1.696563e-09,8.13842,0.274757,0.000834831,18.1901
12,5.20374,-0.0255955,1.00483e-21,1.70385e-09,1.703849e-09,8.13004,0.274473,0.000833968,18.1917
12,5.19885,-0.0253122,0,1.71111e-09,1.711114e-09,8.12399,0.27424,0.000833171,18.1925
12,5.19415,-0.0249872,-8.23114e-22,1.71834e-09,1.718338e-09,8.12005,0.274051,0.000832429,18.1925
12,5.18961,-0.0246298,-7.44092e-22,1.72552e-09,1.725517e-09,8.11802,0.273902,0.000831734,18.1918
12,5.18524,-0.0242484,0,1.73266e-09,1.732669e-09,8.11773,0.273789,0.000831076,18.1904
12,5.18102,-0.0238506,0,1.73976e-09,1.739762e-09,8.11904,0.273708,0.000830449,18.1884
12,5.17695,-0.0234425,0,1.74682e-09,1.746814e-09,8.12186,0.273656,0.000829847,18.1858
12,5.17301,-0.02303,0,1.75383e-09,1.753827e-09,8.12609,0.273631,0.000829263,18.1826
12,5.16919,-0.0226176,0,1.76079e-09,1.760794e-09,8.13166,0.273631,0.000828692,18.1789
12,5.1655,-0.0222094,0,1.7677e-09,1.767701e-09,8.13853,0.273653,0.000828129,18.1748
12,5.16191,-0.0218089,-3.18274e-18,1.77456e-09,1.774553e-09,8.14666,0.273697,0.000827569,18.1702
12,5.15842,-0.021419,3.17852e-18,1.78137e-09,1.781384e-09,8.15601,0.273762,0.000827009,18.1652
12,5.15503,-0.0210419,3.17457e-18,1.78812e-09,1.788105e-09,8.16658,0.273846,0.000826445,18.1598
12,5.15172,-0.0206796,0,1.79481e-09,1.794813e-09,8.17836,0.273948,0.000825872,18.154
12,5.14849,-0.0203338,0,1.80144e-09,1.801438e-09,8.19136,0.274069,0.000825288,18.1478
12,5.14532,-0.0200057,0,1.80801e-09,1.808013e-09,8.2056,0.274207,0.000824688,18.1413
12,5.14221,-0.0196964,-3.15796e-18,1.81451e-09,1.814499e-09,8.22108,0.274363,0.000824069,18.1345
12,5.13915,-0.0194066,1.57642e-22,1.82095e-09,1.820944e-09,8.23785,0.274536,0.000823429,18.1275
12,5.13614,-0.0191373,-1.38073e-22,1.82731e-09,1.82731e-09,8.25594,0.274726,0.000822764,18.1201
12,5.13316,-0.0188891,0,1.8336e-09,1.833613e-09,8.2754,0.274934,0.000822071,18.1125
12,5.13021,-0.0186626,3.14051e-18,1.83982e-09,1.839815e-09,8.29628,0.275159,0.000821346,18.1046
12,5.12728,-0.0184586,0,1.84597e-09,1.845979e-09,8.31864,0.275402,0.000820587,18.0964
12,5.12436,-0.0182779,-6.26331e-18,1.85203e-09,1.852019e-09,8.34254,0.275663,0.00081979,18.0881
12,5.12144,-0.0181213,0,1.85801e-09,1.858015e-09,8.36807,0.275944,0.000818951,18.0795
12,5.11853,-0.0179898,-3.12273e-18,1.8639e-09,1.863911e-09,8.39531,0.276243,0.000818067,18.0708
12,5.1156,-0.0178849,0,1.86971e-09,1.869705e-09,8.42434,0.276563,0.000817135,18.0618
12,5.11266,-0.0178081,-9.34133e-18,1.87543e-09,1.875426e-09,8.45528,0.276903,0.00081615,18.0527
12,5.10969,-0.0177616,0,1.88105e-09,1.881055e-09,8.48823,0.277265,0.00081511,18.0433
12,5.10669,-0.0177482,0,1.88658e-09,1.886573e-09,8.52332,0.27765,0.00081401,18.0339
12,5.10365,-0.0177717,-6.20099e-18,1.89201e-09,1.892007e-09,8.56068,0.278059,0.000812846,18.0243
12,5.10055,-0.0178371,0,1.89733e-09,1.897337e-09,8.60045,0.278493,0.000811614,18.0146
12,5.0974,-0.0179507,1.63393e-22,1.90256e-09,1.902559e-09,8.64281,0.278953,0.000810309,18.0047
