# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0429377     	-3.363269e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0431143     	-3.261915e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0432955     	-3.352472e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0434767     	-3.300208e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0436579     	-3.285781e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0438391     	-3.297351e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0440203     	-3.351150e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0442015     	-3.312765e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0443827     	-3.346262e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0445639     	-3.378509e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0447451     	-3.365486e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0449263     	-3.395648e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0451075     	-3.452290e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0452887     	-3.397751e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0454699     	-3.473745e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0456587     	-3.524154e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0458474     	-3.517266e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0460362     	-3.537669e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0462249     	-3.622013e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0464137     	-3.690275e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0466024     	-3.764505e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0467912     	-3.846120e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0469799     	-3.936332e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0471687     	-4.002533e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0473575     	-4.075567e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0475462     	-4.187413e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.047735      	-4.250824e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0479237     	-4.363654e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0481125     	-4.451971e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0483012     	-4.628393e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04849       	-4.665746e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0486787     	-4.859865e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0488675     	-4.899038e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0490562     	-5.107838e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.049245      	-5.096311e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0494337     	-5.262880e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0496225     	-5.264021e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0498112     	-5.416033e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05          	-5.380087e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0502041     	-5.522871e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0504082     	-5.471906e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0506122     	-5.616858e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0508209     	-5.531539e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0510295     	-5.642800e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0512381     	-5.577905e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0514467     	-5.651563e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0516553     	-5.557904e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0518639     	-5.587213e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0520781     	-5.514872e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0522922     	-5.498106e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0525063     	-5.403609e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0527204     	-5.352106e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0529345     	-5.256827e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0531486     	-5.149906e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0533627     	-5.017740e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
